user_id,date,session_duration_mins,quests_completed,login_hour,streak_days,doomscroll_triggered
1,2024-01-01,415.8,6,21,14,0
2,2024-01-02,476.4,6,21,12,0
3,2024-01-03,447.0,5,22,9,1
4,2024-01-04,440.4,5,23,13,1
5,2024-01-05,345.6,6,21,9,0
6,2024-01-06,525.0,5,23,18,1
7,2024-01-07,369.0,6,21,11,1
8,2024-01-08,402.0,3,22,14,1
9,2024-01-09,576.6,5,22,20,1
10,2024-01-10,358.2,6,22,11,1
11,2024-01-11,196.2,6,22,9,0
12,2024-01-12,490.2,6,22,9,0
13,2024-01-13,521.4,3,22,12,1
14,2024-01-14,414.0,6,22,11,1
15,2024-01-15,325.8,5,22,11,1
16,2024-01-16,589.2,4,21,14,1
17,2024-01-17,462.0,4,21,13,0
18,2024-01-18,356.4,6,22,10,0
19,2024-01-19,511.8,6,21,12,0
20,2024-01-20,298.2,5,22,9,1
21,2024-01-21,252.0,7,22,10,0
22,2024-01-22,171.0,6,21,2,0
23,2024-01-23,388.2,3,21,8,1
24,2024-01-24,630.0,6,21,16,0
25,2024-01-25,433.8,6,23,15,0
26,2024-01-26,415.8,5,22,15,0
27,2024-01-27,460.2,7,22,14,0
28,2024-01-28,375.6,6,21,10,0
29,2024-01-29,419.4,5,22,6,0
30,2024-01-30,406.8,4,21,11,1
31,2024-01-31,336.6,6,20,2,0
32,2024-02-01,605.4,4,21,17,1
33,2024-02-02,493.8,6,22,13,0
34,2024-02-03,409.2,5,23,16,1
35,2024-02-04,350.4,6,21,10,0
36,2024-02-05,291.0,4,22,5,1
37,2024-02-06,279.6,4,22,13,1
38,2024-02-07,395.4,3,22,13,1
39,2024-02-08,388.2,5,21,11,1
40,2024-02-09,398.4,4,21,13,0
41,2024-02-10,504.0,4,22,10,1
42,2024-02-11,467.4,5,22,13,0
43,2024-02-12,450.0,4,22,14,1
44,2024-02-13,460.2,7,22,20,0
45,2024-02-14,457.2,5,21,15,1
46,2024-02-15,404.4,5,22,6,0
47,2024-02-16,348.6,4,22,10,0
48,2024-02-17,319.2,7,20,8,0
49,2024-02-18,465.6,5,22,18,0
50,2024-02-19,385.8,3,21,10,1
51,2024-02-20,415.2,5,22,11,1
52,2024-02-21,421.2,4,22,11,1
53,2024-02-22,385.8,5,22,14,1
54,2024-02-23,343.8,5,22,7,1
55,2024-02-24,394.2,4,21,12,1
56,2024-02-25,519.0,5,23,16,1
57,2024-02-26,438.0,4,21,11,1
58,2024-02-27,609.6,5,21,20,1
59,2024-02-28,379.8,6,22,8,0
60,2024-02-29,415.8,7,22,10,0
61,2024-03-01,542.4,6,23,15,0
62,2024-03-02,481.2,6,21,12,0
63,2024-03-03,471.6,8,22,11,0
64,2024-03-04,345.6,4,22,7,1
65,2024-03-05,418.2,6,23,9,1
66,2024-03-06,595.2,4,23,20,1
67,2024-03-07,490.2,4,22,13,0
68,2024-03-08,444.6,3,22,15,1
69,2024-03-09,258.0,6,22,9,0
70,2024-03-10,524.4,6,22,13,0
71,2024-03-11,406.8,5,22,11,1
72,2024-03-12,318.0,4,22,6,1
73,2024-03-13,408.0,5,22,9,1
74,2024-03-14,333.6,4,22,10,1
75,2024-03-15,602.4,5,21,21,0
76,2024-03-16,553.2,2,21,20,1
77,2024-03-17,258.0,7,21,4,0
78,2024-03-18,322.2,4,22,8,1
79,2024-03-19,370.2,6,22,11,0
80,2024-03-20,445.8,9,22,12,0
81,2024-03-21,296.4,6,21,11,1
82,2024-03-22,665.4,5,20,20,1
83,2024-03-23,334.8,6,21,10,0
84,2024-03-24,612.6,6,21,20,1
85,2024-03-25,539.4,4,22,16,1
86,2024-03-26,396.6,5,22,12,0
87,2024-03-27,388.2,6,21,9,0
88,2024-03-28,295.8,4,22,9,1
89,2024-03-29,562.2,4,22,21,1
90,2024-03-30,470.4,2,21,15,1
91,2024-03-31,474.0,5,22,13,1
92,2024-04-01,202.2,4,22,2,1
93,2024-04-02,366.0,4,22,10,1
94,2024-04-03,436.2,7,22,10,1
95,2024-04-04,463.2,5,23,13,1
96,2024-04-05,547.8,6,21,11,1
97,2024-04-06,331.2,6,21,10,0
98,2024-04-07,372.0,3,22,13,1
99,2024-04-08,615.6,5,23,16,1
100,2024-04-09,382.2,4,21,9,1
101,2024-04-10,411.0,7,22,8,0
102,2024-04-11,309.0,5,22,9,0
103,2024-04-12,304.2,5,20,8,0
104,2024-04-13,403.8,5,23,11,1
105,2024-04-14,600.6,6,22,21,1
106,2024-04-15,384.6,2,21,10,1
107,2024-04-16,226.2,4,22,7,1
108,2024-04-17,373.2,4,22,10,1
109,2024-04-18,580.8,5,21,19,0
110,2024-04-19,375.0,5,22,11,1
111,2024-04-20,406.2,6,22,8,0
112,2024-04-21,323.4,5,20,4,0
113,2024-04-22,403.2,4,21,10,1
114,2024-04-23,246.0,6,21,5,0
115,2024-04-24,460.8,5,21,13,1
116,2024-04-25,412.2,4,22,10,1
117,2024-04-26,237.6,5,20,3,0
118,2024-04-27,525.0,5,22,20,1
119,2024-04-28,663.0,7,21,22,1
120,2024-04-29,468.6,3,22,13,1
121,2024-04-30,534.6,3,21,19,1
122,2024-05-01,450.0,8,21,13,0
123,2024-05-02,189.6,4,23,3,0
124,2024-05-03,283.8,5,21,11,1
125,2024-05-04,271.2,7,21,9,0
126,2024-05-05,301.2,5,21,5,0
127,2024-05-06,402.0,3,23,12,1
128,2024-05-07,378.0,5,21,9,0
129,2024-05-08,486.6,5,22,13,0
130,2024-05-09,507.0,4,21,15,1
131,2024-05-10,534.0,8,21,20,0
132,2024-05-11,441.6,6,21,12,0
133,2024-05-12,295.8,3,21,7,1
134,2024-05-13,352.2,5,22,10,1
135,2024-05-14,445.2,6,22,10,0
136,2024-05-15,661.2,7,22,22,0
137,2024-05-16,385.2,6,21,12,0
138,2024-05-17,417.0,4,22,14,1
139,2024-05-18,601.2,6,22,17,0
140,2024-05-19,541.2,3,22,18,1
141,2024-05-20,369.6,5,22,13,1
142,2024-05-21,361.8,3,20,10,1
143,2024-05-22,270.6,6,21,10,0
144,2024-05-23,147.6,4,22,6,0
145,2024-05-24,557.4,3,22,16,1
146,2024-05-25,613.8,8,21,24,0
147,2024-05-26,468.6,7,21,18,1
148,2024-05-27,388.2,4,22,12,1
149,2024-05-28,284.4,4,22,6,1
150,2024-05-29,334.2,6,22,10,0
151,2024-05-30,402.0,7,23,14,0
152,2024-05-31,387.0,6,20,10,0
153,2024-06-01,394.2,4,22,11,1
154,2024-06-02,556.2,4,22,14,1
155,2024-06-03,417.0,7,23,13,0
156,2024-06-04,626.4,4,22,22,1
157,2024-06-05,570.0,6,22,22,1
158,2024-06-06,430.8,5,22,11,1
159,2024-06-07,612.6,3,22,17,1
160,2024-06-08,289.2,4,22,6,1
161,2024-06-09,466.8,5,23,16,1
162,2024-06-10,474.6,4,22,14,1
163,2024-06-11,367.2,5,21,8,1
164,2024-06-12,697.2,4,21,17,1
165,2024-06-13,318.6,4,22,7,1
166,2024-06-14,387.6,4,21,11,1
167,2024-06-15,363.6,4,22,13,1
168,2024-06-16,250.2,4,23,4,1
169,2024-06-17,409.2,5,22,13,1
170,2024-06-18,371.4,6,21,8,0
171,2024-06-19,366.6,4,20,10,1
172,2024-06-20,349.8,9,21,12,0
173,2024-06-21,204.0,5,21,4,0
174,2024-06-22,349.2,5,21,10,1
175,2024-06-23,449.4,5,22,11,0
176,2024-06-24,397.8,3,22,10,1
177,2024-06-25,362.4,4,22,8,1
178,2024-06-26,298.8,6,21,6,0
179,2024-06-27,352.2,3,21,7,1
180,2024-06-28,224.4,3,21,3,1
181,2024-06-29,292.2,5,23,8,1
182,2024-06-30,480.0,5,21,18,0
183,2024-07-01,227.4,6,21,5,0
184,2024-07-02,577.8,3,22,16,1
185,2024-07-03,357.6,4,23,6,1
186,2024-07-04,439.8,6,22,14,0
187,2024-07-05,666.6,6,22,24,0
188,2024-07-06,514.8,5,21,15,1
189,2024-07-07,367.2,4,22,11,1
190,2024-07-08,397.8,4,22,11,1
191,2024-07-09,442.8,5,22,16,1
192,2024-07-10,403.2,5,22,14,1
193,2024-07-11,484.2,3,20,13,1
194,2024-07-12,381.6,6,23,10,1
195,2024-07-13,451.2,6,22,14,0
196,2024-07-14,327.0,6,21,4,0
197,2024-07-15,340.2,6,21,9,0
198,2024-07-16,624.0,4,23,20,1
199,2024-07-17,448.8,4,22,16,1
200,2024-07-18,383.4,4,22,11,1
201,2024-07-19,278.4,6,22,7,0
202,2024-07-20,553.8,5,21,21,1
203,2024-07-21,471.0,4,21,9,1
204,2024-07-22,257.4,8,22,8,0
205,2024-07-23,393.6,6,21,13,0
206,2024-07-24,248.4,6,22,10,0
207,2024-07-25,207.6,5,22,3,0
208,2024-07-26,279.6,6,22,6,0
209,2024-07-27,453.0,4,21,11,0
210,2024-07-28,288.0,5,22,7,0
211,2024-07-29,210.6,6,22,5,0
212,2024-07-30,258.0,6,21,5,0
213,2024-07-31,418.8,6,21,11,0
214,2024-08-01,454.2,5,22,11,1
215,2024-08-02,457.2,5,22,16,0
216,2024-08-03,255.0,4,22,7,1
217,2024-08-04,380.4,4,22,11,1
218,2024-08-05,380.4,5,21,9,1
219,2024-08-06,517.2,7,21,14,0
220,2024-08-07,360.0,5,22,12,0
221,2024-08-08,407.4,6,21,14,0
222,2024-08-09,404.4,8,21,18,0
223,2024-08-10,314.4,6,20,13,0
224,2024-08-11,452.4,5,21,17,1
225,2024-08-12,243.0,5,21,6,0
226,2024-08-13,259.8,3,21,5,1
227,2024-08-14,557.4,8,21,18,0
228,2024-08-15,439.8,6,22,13,0
229,2024-08-16,490.2,6,22,15,1
230,2024-08-17,579.6,5,22,17,1
231,2024-08-18,366.6,3,22,9,1
232,2024-08-19,352.8,4,22,9,1
233,2024-08-20,521.4,3,23,16,1
234,2024-08-21,275.4,3,22,10,1
235,2024-08-22,354.6,5,21,10,1
236,2024-08-23,344.4,5,22,6,1
237,2024-08-24,491.4,4,21,16,0
238,2024-08-25,384.6,5,22,10,1
239,2024-08-26,487.2,6,21,16,0
240,2024-08-27,501.0,4,21,14,1
241,2024-08-28,598.8,7,21,18,0
242,2024-08-29,141.6,6,22,4,0
243,2024-08-30,170.4,5,23,2,1
244,2024-08-31,456.6,5,22,20,0
245,2024-09-01,273.6,5,20,17,0
246,2024-09-02,363.0,5,22,7,0
247,2024-09-03,393.6,4,21,8,1
248,2024-09-04,393.6,5,21,12,0
249,2024-09-05,360.6,4,22,11,1
250,2024-09-06,349.8,7,21,9,0
251,2024-09-07,511.8,6,21,8,0
252,2024-09-08,314.4,5,22,10,0
253,2024-09-09,383.4,3,22,14,1
254,2024-09-10,457.2,4,23,12,1
255,2024-09-11,415.2,4,21,10,0
256,2024-09-12,382.8,4,21,9,0
257,2024-09-13,617.4,4,21,22,1
258,2024-09-14,349.2,3,21,9,1
259,2024-09-15,376.8,8,22,14,0
260,2024-09-16,753.6,5,22,23,1
261,2024-09-17,598.2,3,22,15,1
262,2024-09-18,432.6,4,21,14,1
263,2024-09-19,615.6,5,22,18,1
264,2024-09-20,565.8,5,20,18,1
265,2024-09-21,311.4,5,22,12,1
266,2024-09-22,199.8,6,21,6,0
267,2024-09-23,451.8,6,22,11,0
268,2024-09-24,549.6,2,21,15,1
269,2024-09-25,410.4,5,21,10,0
270,2024-09-26,414.6,4,22,11,1
271,2024-09-27,513.0,5,22,19,0
272,2024-09-28,423.0,4,22,16,1
273,2024-09-29,519.0,6,22,15,0
274,2024-09-30,329.4,6,22,7,0
275,2024-10-01,390.6,5,22,11,0
